,eq,60N,60S
1980-01-01,6.55111869731401,33.64740820310749,-11.78820458489398
1980-01-02,6.017386350936561,35.27445829182209,-11.79762943408521
1980-01-03,6.091143903504636,38.26573481617443,-11.75878612511648
1980-01-04,5.1934681375668985,38.811998089251155,-12.109260617122496
1980-01-05,3.81424539736207,38.66501020439395,-11.914327632204973
1980-01-06,2.9767170829704956,38.20186099775821,-11.868455475164499
1980-01-07,3.055599626908305,34.014913454485026,-11.657203945180918
1980-01-08,2.720965177483126,32.64777543485036,-12.108163144572316
1980-01-09,2.0929107347490565,33.02046226380196,-11.743181656389932
1980-01-10,1.7329106912139218,35.606545336252886,-11.934610024800309
1980-01-11,2.8992745137737614,39.899538930871536,-12.21009220367414
1980-01-12,2.590651011536976,42.646465983619635,-11.96051811986507
1980-01-13,1.58664340473949,43.055797541055824,-12.113436796763153
1980-01-14,0.5030951533266353,45.070828966691415,-11.922227284264054
1980-01-15,-0.025570696788910233,49.89727819333935,-11.853079729882298
1980-01-16,0.2081947357211705,52.129517984525776,-11.715727886429342
1980-01-17,-0.5836836620227941,54.138465190953966,-11.248821721878038
1980-01-18,-1.4898537127029707,55.03365317312257,-11.40904883831507
1980-01-19,-0.9574725542651009,54.211601310920265,-11.918813239646772
1980-01-20,-0.935357428618933,53.18061427081601,-10.748496836650054
1980-01-21,-0.73482122240076,51.78627757707608,-11.115961027223262
1980-01-22,-0.44962954212097517,49.56279737311642,-10.454752378098298
1980-01-23,1.1554402563256245,45.05914675042911,-10.402010787470305
1980-01-24,0.8648569920364468,42.11852682250874,-10.722390852875943
1980-01-25,1.5341568007252018,39.708655447340476,-10.2976720927836
1980-01-26,2.432202102071282,36.02294497787366,-10.084609181456049
1980-01-27,1.5602335633419198,33.95109798538534,-10.280805069543838
1980-01-28,1.8176754781294944,34.5618182471934,-10.083958518777157
1980-01-29,2.2449705737812424,30.91272469090656,-8.69368803979541
1980-01-30,1.0520357587649811,32.55573986963625,-7.740801908060151
1980-01-31,1.3891390326186916,37.16771768132694,-8.154149943151214
1980-02-01,0.15687715839249533,38.791281657405335,-7.810615027768915
1980-02-02,0.9800629741820484,41.320100037068265,-6.674240494558448
1980-02-03,1.7337468896301078,42.546100506949564,-6.79489318060366
1980-02-04,1.75080815874755,45.05201986194864,-6.7629941873068296
1980-02-05,1.7816690649923803,48.27623874334249,-6.324492510140708
1980-02-06,1.2050525653626032,50.529916117095155,-5.805197691905073
1980-02-07,1.9044884773875157,52.80301699579899,-5.409073119784099
1980-02-08,1.6080037950318198,54.43942747870143,-5.526570168940125
1980-02-09,1.116431095628752,53.989886607783454,-5.9147629870933685
1980-02-10,1.0905294273696642,50.057130623025095,-5.747778270654704
1980-02-11,2.002814821432888,42.8343335332173,-5.03379441145883
1980-02-12,1.9118461383463259,36.014101175303075,-5.162266715553137
1980-02-13,2.6366811922529543,31.546767734533173,-4.83981743866493
1980-02-14,2.8112382381552985,30.21969628360909,-4.287781484534094
1980-02-15,2.536328582067321,26.38158997619564,-3.763428241750949
1980-02-16,2.2011589381089256,27.63181216055083,-3.64085314868483
1980-02-17,3.3022416924713647,28.67000510125314,-2.74635088134118
1980-02-18,3.1896461967520016,27.14384854255439,-3.093803606211101
1980-02-19,2.937391030912252,30.697838619095773,-2.678354877541703
1980-02-20,3.0753862655053377,28.70969436969702,-1.9319471670607113
1980-02-21,2.5380560973841635,27.545591793436635,-1.381896853376832
1980-02-22,2.631800237161169,27.385815465734666,-0.6259330611356356
1980-02-23,2.8856266007419045,25.877056730737543,-0.3061603209720902
1980-02-24,3.886422498124213,21.186167239893436,0.4352541517352485
1980-02-25,4.337405098849766,18.790415075037224,1.1420302827781712
1980-02-26,5.496136491014098,18.66593882170155,1.0164388146574548
1980-02-27,5.720262823005283,15.463250360016014,1.5456696920765274
1980-02-28,6.2894954281719695,7.473310300515796,1.303020039403071
1980-02-29,6.800490868572063,-0.8796913422056859,1.9061520284230418
1980-03-01,6.5202048072769045,-6.4393563328484715,2.497813018791616
1980-03-02,7.287568377496208,-6.6899982790310535,3.3428989718126045
1980-03-03,6.879493546033655,-1.5379994389048173,3.6394503366854036
1980-03-04,7.331908021738373,5.354247421584797,3.716313756521078
1980-03-05,7.448220976143058,10.953721910543317,3.842797559318344
1980-03-06,8.509725115069818,9.692890849910109,4.353219942834639
1980-03-07,8.753380023824324,6.171207038678132,4.90923219259922
1980-03-08,9.773576398435397,5.0213380641242535,5.4532012377756605
1980-03-09,11.123495524463605,5.782978734018709,5.944795598483198
1980-03-10,10.526851357603535,5.584996350694909,6.473479813827062
1980-03-11,11.511713020197583,7.36112015251423,6.765379384592104
1980-03-12,11.253760594503207,7.168745575314739,6.574930997521883
1980-03-13,11.735716506566149,5.833819759709704,6.72690110298546
1980-03-14,12.900763432279856,6.21690997820702,6.565111683167495
1980-03-15,11.889764959420331,4.651026436933172,6.655903780487896
1980-03-16,12.591664752585201,1.9333052433348876,7.442650430497866
1980-03-17,13.169458135401262,-1.1945297842250642,6.920589506734568
1980-03-18,12.876435674160946,-4.980420495095141,6.046630591699122
1980-03-19,13.196338701959734,-5.44928522592395,6.338231601942296
1980-03-20,13.455363519811812,-5.933502321886162,7.044635846597803
1980-03-21,13.196609754613872,-4.720517704009126,8.042911020400672
1980-03-22,14.184331397904025,-3.6545397180697474,8.317232399996657
1980-03-23,13.956306418696082,-2.202797480020598,8.401937181466304
1980-03-24,13.535056416077486,-0.08366648523546459,9.81554188366794
1980-03-25,13.427071170738586,-0.40362159347549487,10.418871771249167
1980-03-26,14.078922783144002,-0.054348944419880744,10.762875145057484
