,EOF1,EOF2,EOF3
1980-01-01,-1.255582929933345,-0.922094231679857,0.2577853914571706
1980-01-02,-0.8794523128860803,-0.5306889108236198,-0.097658235634545
1980-01-03,-0.4930310089428817,-0.0657943062773255,-0.2792784527300003
1980-01-04,-0.3462597668521447,-0.0943090744386231,0.0017605751274678
1980-01-05,-0.2190132598295657,0.3640389123162542,0.3117802342738702
1980-01-06,-0.3646058458620397,0.8934246084328771,0.4597405969140207
1980-01-07,-0.4139642329196488,1.2898104094480016,0.1333212241663708
1980-01-08,-0.0325005391062156,1.629915126171332,0.2430366846347793
1980-01-09,0.2971227956652776,1.338188997964331,0.3170265378815105
1980-01-10,0.3621825261348356,1.3719346294323287,-0.155193514590188
1980-01-11,0.2943149924917954,1.5148895150779556,-0.5339530285391211
1980-01-12,-0.3458293198862963,1.771133351994829,-1.040260085584729
1980-01-13,-0.9654652924952604,1.2226260993837106,-1.7125999363360294
1980-01-14,-1.8292811971075524,0.5060893762258558,-1.0518322807371494
1980-01-15,-2.098526541109308,0.3273702068378191,-0.7243545508822349
1980-01-16,-1.4473783677626388,0.2222932589366033,-0.8260187672246241
1980-01-17,-0.5865231843140675,-0.0229461808204194,-0.6986677242913881
1980-01-18,-0.1622789078614306,-0.3705175940695601,0.2702923851155316
1980-01-19,-0.0420816770898654,-0.2806589514159145,1.2601525737278847
1980-01-20,-0.1035030736599294,0.0109360716311921,1.4364282734265628
1980-01-21,-0.6994682587096838,0.0018170736983977,1.5800388051500178
1980-01-22,-1.606488296909325,0.0963764173300192,1.8701066132266333
1980-01-23,-2.0544009950293067,-0.0422103481095717,2.437507812245112
1980-01-24,-2.131945946583904,0.0127714030900955,2.802608603405554
1980-01-25,-2.177427686608329,0.5922524223726109,2.1191574197134573
1980-01-26,-1.848728459313066,0.5368079513663594,1.29744974575996
1980-01-27,-1.9918261366401813,0.4602054759880011,1.0367358234719368
1980-01-28,-1.7774926960389048,0.3429700793523036,1.2134046638996836
1980-01-29,-1.448164061236532,0.3077628694928272,1.4504883135487718
1980-01-30,-1.3995617802771732,-0.3061923400996904,1.8132137636172367
1980-01-31,-1.6236184845521469,-1.2690245459994824,2.164094437270911
1980-02-01,-1.596590892444726,-1.5474811498204586,1.9314262646042089
1980-02-02,-1.4284144314733136,-1.6742142471300518,1.6271291363752522
1980-02-03,-1.3293787516130613,-1.7178364666431816,0.8552751711117822
1980-02-04,-0.9519542711610156,-1.5042339666831583,0.7700539599931232
1980-02-05,-0.6504545501584469,-1.2025191153238304,0.9913960008649796
1980-02-06,-0.658275513750438,-0.4081109857181933,1.2158996607425558
1980-02-07,-0.4693821844401837,0.1919563934660525,1.770270043116408
1980-02-08,-0.3003688853830242,0.3510080716684532,2.1155606410523227
1980-02-09,-0.3901793423192224,0.4626432140722776,1.946695041801034
1980-02-10,-0.7200704268122446,0.6090569530501773,1.543400374143388
1980-02-11,-0.9755263026613308,0.7769946657564186,1.0999344407778873
1980-02-12,-0.989922706784708,0.9559906839892476,0.8546933403980368
1980-02-13,-0.8509455446007352,0.8796560411184737,0.8903793175413801
1980-02-14,-0.5653852078268798,0.568041495623596,0.8728422093286006
1980-02-15,-0.0471800471625934,0.718836537632352,1.0390486519342437
1980-02-16,0.3927609765022881,0.8521463153183999,1.0285949984346037
1980-02-17,0.5301083628356181,0.8388841568281894,0.28338867789384
1980-02-18,0.1785458364800914,0.8743088971484281,-0.2493195184666839
1980-02-19,0.4233848067146256,1.507713157326789,-0.7301597578241296
1980-02-20,1.222163120590611,1.6994519374696768,0.0019201675748263
1980-02-21,1.7095139958715737,1.4475876388420763,0.2660281649054905
1980-02-22,1.407533923291332,1.4441784834758309,0.0939811872997399
1980-02-23,1.423867067400482,2.08005259638283,-0.2929694171238897
1980-02-24,1.6427046153458302,2.4633345244412395,-0.7564960473345725
1980-02-25,1.2882510100216034,1.6904801542352303,-1.1312827134313848
1980-02-26,0.496439343445625,1.2919390684336662,-1.2166397950181147
1980-02-27,-0.2058877160493081,1.140469044829736,-1.4280830516401442
1980-02-28,-0.66869222577782,1.0187302496601311,-1.707431750243246
1980-02-29,-1.0032384416203837,0.6713589882434925,-2.134941828845454
1980-03-01,-1.359370204300365,-0.1395255476424563,-1.497557281090923
1980-03-02,-1.1410585444003274,-0.0649651238778183,-0.7840143783727807
1980-03-03,-0.5182047942652611,-0.2162804874310419,-0.6062644080615331
1980-03-04,-0.0205567927777984,-0.3368486077097476,-0.7748082030260933
1980-03-05,0.6031183526418677,-0.4132281353403898,-0.8096771688288561
1980-03-06,1.3078463650110432,-0.7775121103183321,-0.5070340335483005
1980-03-07,0.8326894571867429,-1.0809697874239077,-0.0455412102530775
1980-03-08,0.945256147971975,-0.0406491838705356,-0.3780906620395801
1980-03-09,1.2916563311589977,0.1882634081286539,-0.1197425222305102
1980-03-10,1.0564720338984668,0.1914726505936412,-0.3162600439407338
1980-03-11,1.0842304465972072,0.4219397558806563,-0.7253822760915951
1980-03-12,1.0355109998812635,0.0932978958748693,-0.2744460030266867
1980-03-13,0.2958025102300315,0.2541325351132238,0.0294177585163933
1980-03-14,0.4291876946270356,1.3526241305994773,-0.3619537020137986
1980-03-15,0.3681758489221554,1.4825157461367144,0.0949763298989664
1980-03-16,-0.4310854238138433,1.446418840392382,0.2599509503505143
1980-03-17,-1.008692820015452,1.5686897934311466,0.0292918902440322
1980-03-18,-1.5751490768769618,1.5304263225083763,0.1888689275918072
1980-03-19,-2.270178389076089,1.2455286200473694,0.4986416877585483
