,nino3,nino4,nino34,nino12,indocW,indocE,AtlMDR,CarMDR,GulfMDR,AtlSub
1980-01-01,23.94220036323312,28.30987769364292,26.591960797755544,24.035521801524087,28.03365633474619,28.61688439080013,25.99030100971807,27.192720663720355,23.341542004724936,23.60954256918123
1980-01-02,23.97145222489435,28.305696017089605,26.56912384350598,23.992092109962524,28.0732312234684,28.636822318564803,25.90410803801065,27.13270240397891,23.217866578181628,23.58156359230853
1980-01-03,24.04212288501078,28.349517741990383,26.60883355393664,23.880025805369048,28.08575291475426,28.646284182009488,25.826940482002072,27.06849710612824,23.133975493306696,23.52813060029104
1980-01-04,24.11648007534284,28.406776166148333,26.680903818531338,23.739716886493657,28.05164876921408,28.627037821055577,25.76159071832404,27.02113653260399,23.096417450566666,23.43438759004865
1980-01-05,24.173156743760103,28.46021131855453,26.76836481024808,23.639157036261423,27.97753653085777,28.58754978532173,25.72765345743309,27.004978508393627,23.09147246682426,23.329628949410097
1980-01-06,24.247296097116173,28.5220177209087,26.87031881528977,23.58904483472734,27.892476105989868,28.54493899907141,25.706398710145308,26.999398029868555,23.12359209835294,23.21747313030081
1980-01-07,24.374076317586923,28.6044029537092,26.98589944604725,23.60026179630697,27.825549607095382,28.51643406915233,25.67918647050244,26.985329744362964,23.19720952332652,23.101499325916645
1980-01-08,24.58858737488909,28.719483076703405,27.114116264945054,23.68356156120952,27.805875990517155,28.519204248194235,25.627317050559714,26.942821239254304,23.31691440478831,22.985305046559454
1980-01-09,24.82086024757613,28.81999909099026,27.190418411080632,23.82742254043611,27.843848404478848,28.55122294842701,25.55906413022236,26.89055841519669,23.41846322976812,22.90023133692036
1980-01-10,24.98802323738195,28.864047448818763,27.183143690558623,24.00625720419832,27.9151866197429,28.59497388216435,25.49643747533102,26.849368328793087,23.454757250017447,22.8643266797694
1980-01-11,25.10826395146377,28.869810996529896,27.139920307956896,24.21096671952776,27.997465883989577,28.644481448561912,25.441960145099152,26.809791160016765,23.458168481832423,22.861412113392934
1980-01-12,25.19962480048484,28.85543976936139,27.108291604663595,24.43254830848058,28.06813826482634,28.693808561819168,25.398167114948336,26.76226100386537,23.46102020208293,22.87530187982997
1980-01-13,25.28034766320452,28.83908262304099,27.135878046603665,24.66216358738744,28.104724716471043,28.736996914805083,25.36762781808994,26.69778868603567,23.495625675988155,22.889791851433976
1980-01-14,25.32177411467822,28.811285804488094,27.20753533598668,24.82417923456105,28.09992303567954,28.757700095152494,25.33743676056641,26.63753779961701,23.52728045054728,22.88621608719116
1980-01-15,25.30068465055921,28.761137632543576,27.27415093723751,24.88025141043428,28.064509570592808,28.75054209358184,25.30464983203861,26.60337260814657,23.511512927492163,22.866330618017955
1980-01-16,25.24307848721369,28.70489445264288,27.33168631975407,24.877412502092493,28.00450844401756,28.72601994784644,25.28718650945884,26.58059230476685,23.467575651822976,22.844583496257613
1980-01-17,25.175197697198566,28.65878363875964,27.376160564826403,24.86283982894389,27.92593881625318,28.694711968937952,25.30284863786477,26.560793682314834,23.414557132802983,22.83542341345154
1980-01-18,25.123046973535462,28.63907914322503,27.403522801158104,24.88361455398377,27.834746134240937,28.667114604641416,25.36946724417861,26.5328587880218,23.371682997924747,22.8532980986366
1980-01-19,25.12391521909944,28.65009857388922,27.41055266340884,24.96252541250236,27.77152756238083,28.66491328755949,25.446215530785963,26.487018546284887,23.35088686195632,22.87546330310012
1980-01-20,25.17916888009689,28.679901598631115,27.396368312060336,25.068157196375083,27.75491796994816,28.687220371647864,25.49156399132272,26.43540026240065,23.34035768121836,22.87720856442242
1980-01-21,25.260914694282203,28.72061271279297,27.360112088104053,25.165291434616723,27.759227216424343,28.710741594744544,25.522696105240502,26.3984412101306,23.32458537385155,22.87025586882497
1980-01-22,25.34109971816296,28.764341953165527,27.30085983201978,25.218722193528777,27.758693830907827,28.71208735721993,25.556821128137724,26.39763296533244,23.288051361432487,22.866279237923617
1980-01-23,25.3917175832696,28.803158363424263,27.217690986836423,25.19332127168484,27.727634358594624,28.66797477096941,25.611109962157787,26.45640752408216,23.21534136601126,22.87699907238004
1980-01-24,25.434047533061097,28.82181794566839,27.148741681109755,25.13277984900932,27.67663354133101,28.585773784024965,25.64576718209636,26.54546326580161,23.12670227570978,22.87811133087503
1980-01-25,25.49053100231774,28.81656452150912,27.11876102087039,25.09187908432101,27.63635405188113,28.50025259528788,25.62737273924941,26.62265878281775,23.050242500346897,22.8508904424809
1980-01-26,25.534072829366607,28.795854261021194,27.106434022618632,25.053981094129632,27.612526391064108,28.42935166202844,25.58193572018228,26.690869588819947,22.98258187833233,22.81532943572395
1980-01-27,25.537731950126343,28.76804811397485,27.09049363238128,25.00271853842238,27.61085952182728,28.39117881911165,25.53538349736205,26.752055827467856,22.92048026511343,22.791403030767547
1980-01-28,25.4743103218734,28.741558719900283,27.04963469898242,24.92146296555377,27.63700681248028,28.40388061099623,25.51377858490144,26.8137625495752,22.86064814944477,22.799203881870344
1980-01-29,25.38053300097624,28.736041358887764,27.020868889212963,24.864843051850027,27.688221702216453,28.468277433123525,25.518302296466366,26.84567154470941,22.828285292974307,22.825225459197554
1980-01-30,25.31124127641776,28.75033215957057,27.034376228894804,24.88168094390535,27.75173690434778,28.562100559517177,25.52707146528933,26.82668406530621,22.83517727021632,22.843687345432777
1980-01-31,25.26701328198442,28.76194369391752,27.05825928500532,24.94694653834886,27.818867417013102,28.66818442545696,25.531490746956543,26.77337277491156,22.85962021668144,22.85609602893473
1980-02-01,25.2483831921442,28.74850990564009,27.06070247773337,25.0359156950358,27.88101837756844,28.76936992212589,25.52293678064263,26.703593063191327,22.87959900014333,22.86403775061539
1980-02-02,25.255946772532862,28.68758552299574,27.00986300588949,25.12363452675192,27.92948437621425,28.84842392608602,25.49284871643474,26.63361584379066,22.87348230401889,22.8690789591956
1980-02-03,25.327803585807057,28.592841731009614,26.92329083000551,25.212751846722096,27.94129356915213,28.85931870586716,25.44342748091362,26.57799534421601,22.85252457271984,22.856971343998563
1980-02-04,25.469310349685887,28.500597047925808,26.84550705650759,25.31320703840087,27.91497379415408,28.799176426249225,25.387065205345426,26.53935759214905,22.834924568667248,22.82147486574552
1980-02-05,25.6312040205617,28.42289311955011,26.78423030946006,25.41090616067748,27.874633464632456,28.714693376440984,25.33059699181661,26.51722595177864,22.810315897501603,22.77593278020859
