,NAOP_S,BLOCK_S,NAOM_S,RIDGE_S
1980-01-01,-0.18205674191143464,-1.8041457291303238,0.6900405558422371,1.4259141204809327
1980-01-02,-0.3339244531379268,-0.9043771434244544,0.1952943636798599,1.1786192700512237
1980-01-03,-0.3826885466950455,0.013145106876888983,-0.07451714951743209,0.5026741875681248
1980-01-04,-0.0721980826454924,-0.015090653268023243,0.03559227681735357,0.04524800075340117
1980-01-05,-0.26188190411710255,0.014396562944622307,0.1142586904457136,0.117818404003548
1980-01-06,-0.7867057541100919,0.2950833492481712,0.5696841390789776,-0.22382560806075896
1980-01-07,-1.4582382845400579,0.8339181988915573,0.7239280549759871,-0.3132053535549453
1980-01-08,-1.3545018995079214,1.3116172782804294,0.6410641366836296,-0.8785218789263513
1980-01-09,-0.8283861972299943,1.3451454597373085,0.5760734185125037,-1.4204290979382794
1980-01-10,-1.081263973119204,1.6731098914089693,0.1935664991717821,-1.0292125040457976
1980-01-11,-1.3708416049762011,1.9891985296126613,-0.10670058330389753,-0.6918428392998993
1980-01-12,-2.351265538681437,1.9527505644791283,0.036922260643822216,0.25832369144205486
1980-01-13,-2.750155678920663,1.5637381401805264,0.2233551728492663,0.9180055827460547
1980-01-14,-2.679104471456392,-0.4744701720781069,1.1418585353182145,2.0463662225471615
1980-01-15,-2.686585853188304,-0.675531912347346,1.4100869470055206,1.9491702268315834
1980-01-16,-2.0816302441205754,0.13112603615338794,0.5681864646645471,1.4233236835558483
1980-01-17,-0.8322962537022496,0.47672653500577283,-0.2803846394274093,0.7313516708193705
1980-01-18,0.44269404380439403,-0.1906656975583476,0.0735845534164602,-0.3568138853245489
1980-01-19,0.8450884546177957,-0.3871045241827245,0.7941323747074709,-1.5118359144561706
1980-01-20,0.6271201484352391,-0.24579169563515402,1.0466663779878447,-1.7715982087706483
1980-01-21,0.19506463497330934,-0.8960340143682992,1.7466025604190156,-1.4411432865776137
1980-01-22,-0.6862070237904828,-1.8102237903789233,2.8372167685791485,-0.8096192654554618
1980-01-23,-0.8598791279987618,-2.8114003065728927,3.7147103590553354,-0.5726207029747195
1980-01-24,-0.7301763181216604,-2.9750690395879467,4.090141038260174,-1.0099828178404158
1980-01-25,-1.4538861553054325,-2.325263104444331,3.6351705345923633,-0.3828230690955558
1980-01-26,-1.5253940975832099,-2.0670238524770514,2.6044963508361008,0.7365373578250124
1980-01-27,-1.7214706325021871,-2.151472239485514,2.4377062678833727,1.2728888272948145
1980-01-28,-1.2020686938548641,-2.2439410011772836,2.2826905528464514,1.0062292352115936
1980-01-29,-0.7443921098076591,-2.194429579618252,2.238734264297323,0.4972035462046326
1980-01-30,-0.08329498950537519,-2.8365140698823113,2.452895070326831,0.24241499274729547
1980-01-31,0.5408009169422855,-3.8498067361959265,2.6894070723560697,0.4366996920515765
1980-02-01,0.7431170097367379,-3.979631405067637,2.317337798545105,0.8471436060595798
1980-02-02,0.9863940863492856,-3.610135473254592,2.0042298067626176,0.5468514253385602
1980-02-03,0.8084160450734265,-3.167704921194903,1.3564439532519867,1.0660932018832383
1980-02-04,0.9917157416755351,-2.6532027836789083,0.9079988634827789,0.8412600706301939
1980-02-05,1.047508921918819,-2.0611885183320235,0.8824607508465198,0.11464795032802796
1980-02-06,0.40812534075999113,-1.392824533275019,1.2287373327245605,-0.4124564608276748
1980-02-07,0.3845429362494805,-1.1217373031902802,1.5140189093965177,-1.0774630898043764
1980-02-08,0.6208584644103744,-1.0367662212889757,1.724637515667571,-1.7124089272226108
1980-02-09,0.3360550777604666,-0.9621257228399136,1.745290940402861,-1.5094201428462288
1980-02-10,-0.29257961415689626,-1.017194435242639,1.8044642209351558,-0.8279917601781855
1980-02-11,-0.8483925257603862,-0.908011033540947,1.8093509928155362,-0.3476038643767921
1980-02-12,-1.135553839297218,-0.5951684852158697,1.757343828958095,-0.3290405488850144
1980-02-13,-0.8003170439041573,-0.5933342386915288,1.5349623255157698,-0.41664170351836854
1980-02-14,-0.20570016018923626,-0.653178043013619,0.8958686067315937,-0.17247174489687184
1980-02-15,0.27517338781018885,-0.25375409441878405,0.2653518487973409,-0.3544499535702605
1980-02-16,0.48068741491214556,0.1473311540687339,0.09648046116429544,-0.8363546494712624
1980-02-17,0.13036402997169652,0.9168781333355904,-0.23013594568769613,-0.9274657390765225
1980-02-18,-0.5641517725294849,1.331848066538802,-0.001220507366431653,-0.9487694969397144
1980-02-19,-1.2055823144227125,2.102595422325525,-0.5437976341803572,-0.4374282519175975
1980-02-20,-0.3149836985155313,2.5331232481284944,-0.6758165168063339,-1.75796852745658
1980-02-21,0.5092812382146055,2.7941017671134483,-1.0427452536810307,-2.504319945061494
1980-02-22,0.2025824240005712,2.523816645226802,-0.9088133679630409,-2.023270759340699
1980-02-23,-0.43630647572184256,2.829932538003966,-1.1707931322269918,-1.3329368593427717
1980-02-24,-0.8303249210178574,3.850917065712046,-1.3121430026559116,-1.9134055761000668
1980-02-25,-0.6400830221996652,3.326848412029294,-1.4993965733507275,-1.2644441846025476
1980-02-26,-1.0546563038073213,2.417941833710159,-0.9479282539349644,-0.451348934715011
1980-02-27,-1.5831633378621872,1.8251176637544293,-0.46861983063425294,0.2067763977334862
1980-02-28,-2.0279873818197847,1.3995764615214414,-0.36088761258803415,1.062687897537844
1980-02-29,-2.242427061385461,1.2070137927664555,-0.5767085394343794,1.8144800094847395
1980-03-01,-1.533968488131341,-0.3803684082797289,-0.109613336133722,2.2901232156692686
1980-03-02,-1.2005281314947116,-0.8694014179538159,0.143763611203303,2.169059252851453
