,glob,30_40N
1980-01-01,11.746196918531778,7.888407970315335
1980-01-02,11.69371592253446,7.836838885730341
1980-01-03,11.644453590643312,7.729588451670281
1980-01-04,11.504784582773937,6.802491596979575
1980-01-05,11.388586869112236,6.401954313679724
1980-01-06,11.462156381078168,6.658179738793435
1980-01-07,11.457028222074626,6.4863870958859176
1980-01-08,11.514666846354848,6.431606229626427
1980-01-09,11.576266073087076,6.681258584395508
1980-01-10,11.645154216508136,6.679539263614043
1980-01-11,11.66579345638858,6.871443288557551
1980-01-12,11.597754206475562,6.848192586099419
1980-01-13,11.661970300155216,6.815175678240698
1980-01-14,11.779016527786418,7.159820483866642
1980-01-15,11.85281457672867,7.084932648199502
1980-01-16,11.928192291616933,6.995137053966632
1980-01-17,12.002192160317753,7.267929736543172
1980-01-18,11.987611290066258,7.179358188301747
1980-01-19,11.970323612732518,7.223589435628236
1980-01-20,11.952849717895685,6.877882112025755
1980-01-21,11.961720822141364,6.656413472506991
1980-01-22,11.994247978132943,6.583012029721941
1980-01-23,11.957610055064736,6.721202574853731
1980-01-24,11.896071594067392,6.888808559781347
1980-01-25,11.878375470212404,7.423646120539264
1980-01-26,11.846937198837631,7.731714168787963
1980-01-27,11.860341372873124,7.369198625173858
1980-01-28,11.79516060230626,7.287775439892492
1980-01-29,11.639852440100483,6.751921368130648
1980-01-30,11.540244017698877,5.999114605773134
1980-01-31,11.490359320064051,5.642737701624003
1980-02-01,11.439366067064269,5.31355873671642
1980-02-02,11.505468270912967,5.43657861227447
1980-02-03,11.65154365023865,5.977496705270719
1980-02-04,11.722063034483812,5.937575434561288
1980-02-05,11.77110901436707,6.111350631329191
1980-02-06,11.734875008979529,6.312063699060556
1980-02-07,11.73912341751167,6.30875554513339
1980-02-08,11.7589303950506,5.898058847561134
1980-02-09,11.820083362741684,5.84652839814558
1980-02-10,11.81138354786128,6.095824453041684
1980-02-11,11.866407932312178,6.501874938396274
1980-02-12,11.915088188201596,6.615340739140417
1980-02-13,11.98472433557976,6.792100392774803
1980-02-14,12.073991971986466,6.766589941829969
1980-02-15,12.1462554002613,7.10200129063319
1980-02-16,12.216284428940124,7.372508672587005
1980-02-17,12.2006744022024,7.064755878868644
1980-02-18,12.211510498208204,7.053202726370203
1980-02-19,12.281820894291275,7.626664171038654
1980-02-20,12.340276476129633,8.133454557275993
1980-02-21,12.294929197983189,8.379416995957333
1980-02-22,12.269424871482537,8.449425549623797
1980-02-23,12.305539752053056,8.63375889160031
1980-02-24,12.39516288122772,8.65608815311639
1980-02-25,12.360046920727358,8.313618332961981
1980-02-26,12.37200260147144,8.023124416143775
1980-02-27,12.32768719008379,8.04089162517191
1980-02-28,12.354352904059295,8.79008546350172
1980-02-29,12.403096212276692,9.084770608721367
1980-03-01,12.275911748890946,7.852656656079775
1980-03-02,12.164772869661544,7.108243541595493
1980-03-03,12.16736590835558,7.672465293653904
1980-03-04,12.17471325042758,8.12524897579735
1980-03-05,12.234424482286132,8.459369673559351
1980-03-06,12.281516687141533,8.618306559742773
1980-03-07,12.364682094433276,9.05610453605198
1980-03-08,12.384723136592548,9.110194012548885
1980-03-09,12.400856744498943,9.590684666852413
1980-03-10,12.42253722445656,9.7405320963583
1980-03-11,12.38331235705549,9.455901434327329
1980-03-12,12.333468564217558,9.03480025717865
1980-03-13,12.35662759821146,8.91254873240471
1980-03-14,12.43053897617972,9.213408189404236
1980-03-15,12.504396885846647,9.521999383680605
1980-03-16,12.520101745521066,9.50186814352332
1980-03-17,12.480683018059452,9.16246622072273
1980-03-18,12.660058611975993,9.32957931461948
1980-03-19,12.738401382306408,9.579424718859388
1980-03-20,12.832497399180188,9.615764832941617
1980-03-21,13.018951342587618,10.103400989421733
1980-03-22,13.100661193759631,10.208466520787384
1980-03-23,13.117853177359942,10.3047572959695
1980-03-24,13.177464243379768,9.891933730595037
1980-03-25,13.170931432933834,10.096399742375327
1980-03-26,13.16500975977135,10.16969413489304
1980-03-27,13.203530164723029,10.745663317369464
1980-03-28,13.128720056882605,10.674248485754292
1980-03-29,13.189237892821284,11.15784029829248
1980-03-30,13.195755925341386,11.338715447816323
1980-03-31,13.205777664853,10.91829550492422
1980-04-01,13.222540403717677,11.058054108902068
1980-04-02,13.307655868766178,11.56820077719043
1980-04-03,13.346502598504602,11.885659796574815
1980-04-04,13.368197110366442,12.23655329597448
1980-04-05,13.28477906282954,11.685562726977054
1980-04-06,13.323792950452903,11.673061158768766
1980-04-07,13.414556772737956,12.40580902338328
1980-04-08,13.49502494855052,12.55607819125841
1980-04-09,13.500153457819756,12.32849199049538
1980-04-10,13.526875760823632,12.611185270625402
1980-04-11,13.508648218867837,12.567194218464206
1980-04-12,13.490496757486534,12.024511437404064
1980-04-13,13.47188611112281,11.243806500104316
1980-04-14,13.508252998457216,11.450245279570302
1980-04-15,13.565627286246093,11.848672526798632
1980-04-16,13.607030033637772,12.219133156229905
1980-04-17,13.693882140897877,12.552210095717555
1980-04-18,13.771725012307424,12.606799717528672
1980-04-19,13.8899221664181,12.984971345377748
1980-04-20,13.97172503892874,13.565312110518342
1980-04-21,14.066213342202238,13.98603699828422
1980-04-22,14.150624003655384,13.893841565805218
1980-04-23,14.174593828720583,13.73915460826562
1980-04-24,14.132698832322411,13.319753655410494
1980-04-25,14.160940347216156,13.167491953676013
1980-04-26,14.151220142438072,13.134263092064488
1980-04-27,14.233180150933617,13.470822421187613
1980-04-28,14.238998898695185,13.654235195738291
1980-04-29,14.283649240916924,13.980297249245975
1980-04-30,14.234546103414992,13.93428635570229
